68238 - 81664, stormthaler-see - stormthaler-see
68243 - 68597, suddeutsche-flussspatwerke-muhlbergstollen - zimmermann-sche-grube
68247 - 82694, sulzhayn - sulzhayn
68248 - 82495, tagebau-goitzsche - tagebau-goitzsche
68250 - 80278, tagebau-caaschwitz - tagebau-caaschwitz
68251 - 79755, tagebau-kamsdorf - tagebau-kamsdorf
68253 - 83966, tageschacht-bluhend-gluck-fundgrube - tageschacht-bluhend-gluck-fundgrube
68259 - 80513, teichelberg - teichelberg
68265 - 81290, theodorschacht-am-rammelsberg - theodorschacht-am-rammelsberg
68292 - 81895, tongrube-geithain - tongrube-geithain
68299 - 81758, tongrube-rettigheim - tongrube-rettigheim
68314 - 81577, treibhaus-vii-lichtloch-rothschonberger-stolln - treibhaus-vii-lichtloch-rothschonberger-stolln
68315 - 81578, treibhaus-viii-lichtloch-rothschonberger-stolln - treibhaus-viii-lichtloch-rothschonberger-stolln
68322 - 84000, tropper-stolln - tropper-stolln
68338 - 79918, turmhof-schacht - turmhof-schacht
68340 - 80126, turkschacht - turkschacht
68341 - 83935, ullrich-stolln-schacht - ullrich-stolln-schacht
68385 - 83939, vater-abraham-kunstschacht - vater-abraham-kunstschacht
68390 - 82758, vellberg-eschenau - vellberg-eschenau
68396 - 81174, verdeckter-karbonatit-korper-storkwitz - verdeckter-karbonatit-korper-storkwitz
68397 - 81137, Grube vereinigt Feld - vereinigt-feld
68398 - 88892, verfuellter-stollen - schieferstollen
68407 - 88869, verschlossener-stollen - schieferstollen
68408 - 88852, verschuetteter-stollen-der-talsperre - schieferstollen
68417 - 82783, victor-ickern-schacht-1 - victor-ickern-schacht-1
68418 - 84574, vielau - vielau
68422 - 82517, vohenstrauss - vohenstrauss
68427 - 82806, w-gipfel-klingelskopf - w-gipfel-klingelskopf
68430 - 84012, wagenbach - wagenbach
68433 - 80493, waldgirmes-grube-rotlaufchen - waldgirmes-grube-rotlaufchen
68435 - 79741, waldschacht - waldschacht
68439 - 84055, walter-schacht-schacht-71 - walter-schacht-schacht-71
68449 - 84576, warmbad-bei-wolkenstein - warmbad-bei-wolkenstein
68461 - 81477, wechselschacht - wechselschacht
68471 - 79957, weissenstein - weissenstein
68473 - 79739, weisser-hirsch-fundgrube - weisser-hirsch-fundgrube
68474 - 83316, weisser-stein - weisser-stein
68480 - 81887, werbener-see-zugehorig-zu-profen-nord - werbener-see-zugehorig-zu-profen-nord
68500 - 84054, wildsberg - wildsberg
68506 - 83431, wilhelmine-mevissen - wilhelmine-mevissen
68517 - 79596, windischeschenbach - windischeschenbach
68550 - 82797, witznautalsperre - witznautalsperre
68557 - 68558, wundsheim - wundsheim1
68562 - 68563, wolsendorf - wolsendorf1
68570 - 83549, zeche-grimberg-3-4 - zeche-grimberg-3-4
68571 - 82785, zeche-hagenbeck - zeche-hagenbeck
68577 - 81298, zeche-osterfeld-i-iii - zeche-osterfeld-i-iii
68614 - 81468, zwenkauer-see - zwenkauer-see
68739 - 68740, zeche-alstaden1 - zeche-alstaden2
68829 - 68830, zeche-holland-schacht-6 - zeche-holland-schacht-6-holland-3-4-6
68842 - 133443, zeche-kaiserstuhl - zeche-kaiserstuhl
68857 - 68862, zeche-lohberg-lohberg-d - zeche-lohberg4
68880 - 133894, zeche-neuwesel - zeche-neuwesel
68880 - 141178, zeche-neuwesel - zeche-neuwesel
68913 - 68914, zeche-rudolph - zeche-rudolph-zeche-rudolf
69066 - 69067, bergwerkssymbol33 - bergwerkssymbol331
69080 - 69081, bergwerkssymbol45 - bergwerkssymbol451
69093 - 69094, bergwerkssymbol56 - bergwerkssymbol561
69116 - 69117, bergwerkssymbol76 - bergwerkssymbol761
69123 - 69124, bergwerkssymbol81 - bergwerkssymbol811
69140 - 69141, bergwerkssymbol96 - bergwerkssymbol961
69144 - 69145, bergwerkssymbol99 - bergwerkssymbol991
69167 - 69168, Grube Falkenberg - Grube Falkenberg
69202 - 69203, Grube Goldener Hut - Grube Goldener Hut
69283 - 69286, Grube Reinhold - reinhold1
69284 - 69285, reinhold-forster-erbstollen - reinhold-forster-erbstollen1
69320 - 69321, stollenmundloch1 - stollenmundloch11
69449 - 69450, Altbergbau Esch - Altbergbau Esch
69604 - 69605, Altbergbau Schmiedefeld - Altbergbau Schmiedefeld
69609 - 69610, Altbergbau Katzhütte - Altbergbau Katzhütte
69630 - 69631, Stollen Silberblick - Stollen Silberblick
69684 - 69685, großes Rohenloch - großes Rohenloch
69689 - 69690, Hoher Fels - Hoher Fels
69689 - 69691, Hoher Fels - Hoher Fels
69689 - 69692, Hoher Fels - Hoher Fels
69689 - 69693, Hoher Fels - Hoher Fels
69689 - 69694, Hoher Fels - Hoher Fels
69730 - 69731, Schlossberghöhle 1 - Schlossberghöhle 1
69730 - 69732, Schlossberghöhle 1 - Schlossberghöhle 1
69735 - 69736, Steinberg Höhlenruine - Steinberg Höhlenruine
69778 - 69779, Altbergbau  - Altbergbau 
69781 - 69782,  - 
69934 - 69935, Grube St. Barbara  - Grube St. Barbara 
69946 - 69947, Huelay Höhle - Huelay Höhle
79597 - 82907, altfalter - altfalter
79598 - 82899, brensdorf - brensdorf
79599 - 80236, brudersdorf - brudersdorf
79600 - 82934, freiung - freiung
79601 - 79982, krandorf - krandorf
79602 - 80237, lissenthan - lissenthan
79603 - 80238, schwarzach - schwarzach
79603 - 83584, schwarzach - schwarzach-bei-nabburg
79604 - 80239, schwarzenfeld - schwarzenfeld
79605 - 80240, stulln - stulln
79606 - 80241, wolsendorf - wolsendorf
79607 - 82932, wundsheim - wundsheim
79639 - 88808, Grube Langhecke - grube-alter-mann
79654 - 79655, steinbruch-stienen - steinbruch-an-der-kier
79703 - 87913, steinkaulenberg - besucherbergwerk-steinkaulenberg
79764 - 85203, christiana - christiana
79765 - 85225, hilarion - hilarion
79766 - 85213, jean-baptiste-1 - jean-batiste-1
79767 - 85214, jean-baptiste-2 - jean-batiste-2
79768 - 85219, serpieri - serpieri
79769 - 85221, serpieri-5 - serpieri-5
79770 - 85233, esperanza-esperance - esperanza-esperance
79772 - 85251, megala-pefka-4 - megala-pefka-4
79773 - 85252, megala-pefka-6 - megala-pefka-6
79774 - 85253, megala-pefka-7 - megala-pefka-7
79775 - 85254, megala-pefka-12 - megala-pefka-12
79776 - 79777, megala-pefka-28 - sigia-mine-stollen-nr-28
79776 - 85255, megala-pefka-28 - megala-pefka-28
79778 - 85194, adami-2-plaka-lt-lapis - adami-2-plaka-lt-lapis
